ID,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Contacts_Count_13_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Total
812441358,1,19,M,B,College,D,$40K - $60K,Red,12,n,1,2,7,11735,2078,3416,2308,0.79,2661,58,0.871,0.378,7483
713287608,1,61,NA,D,High School,M,Less than $40K,Red,52,n,1,0,5,16927.5,2264,5307,3253.5,0.696,2273,49,0.485,0.299,6319
711357858,0,50.5,NA,D,Graduate,S,Less than $40K,Red,42,v,3,1,6,5242.5,1398,1499,1349.5,0.907,2698,73,0.872,0.483,7594
715478733,1,64,NA,F,Graduate,M,Less than $40K,Red,42,c,2,4,9,5827.5,2379,752,976,0.748,2315,63,0.853,0.76,6445
780382008,1,43,NA,E,Unknown,S,Less than $40K,Purple,34,c,3,2,7,8685,2517,1757,1478.5,0.666,2257,54,0.8,0.589,6271
715749858,1,25,M,B,Unknown,M,$40K - $60K,Red,6,v,6,4,9,10450,906,4074,2637,0.721,2273,66,0.886,0.182,6319
710951808,1,28,M,B,Unknown,M,Less than $40K,Red,42,c,3,3,8,5890,2155,1001,1100.5,0.438,1376,44,0.571,0.683,3628
713469333,1,40,M,C,High School,S,$80K - $120K,Red,26,b,1,0,5,15152.5,2101,4760,2980,0.464,3974,63,0.909,0.306,11422
719243808,1,29.5,NA,B,Graduate,M,Less than $40K,Red,10,c,3,2,7,36885,2497,13057,7128.5,1.027,2836,61,0.605,0.161,8008
772202058,1,76,M,A,Graduate,M,Less than $40K,Red,76,c,2,4,9,64425,1915,24655,12927.5,1.454,2118,33,1.062,0.072,5854
711346383,1,29.5,M,B,High School,S,$80K - $120K,Red,26,c,2,4,9,53560,979,21245,11222.5,1.255,3346,69,1.156,0.044,9538
711405333,1,58,M,D,Post-Graduate,M,$80K - $120K,Red,56,n,2,4,9,24515,1713,8893,5046.5,0.899,2694,61,0.906,0.162,7582
778407033,1,68.5,NA,A,Uneducated,M,Less than $40K,Red,48,v,3,4,9,12662.5,2517,3348,2274,1.348,2623,47,1.35,0.429,7369
714862083,1,41.5,NA,E,Uneducated,S,Unknown,Red,36,b,2,3,8,11422.5,1854,3515,2357.5,0.959,1898,50,0.786,0.345,5194
711199008,1,37,M,C,Unknown,M,$40K - $60K,Red,32,b,1,5,10,10970,753,4435,2817.5,0.591,1540,30,0.429,0.145,4120
709858533,1,23.5,M,C,Graduate,D,Less than $40K,Red,10,v,2,4,9,42355,1463,16279,8739.5,0.803,3369,55,0.774,0.082,9607
718627458,1,44.5,NA,D,Doctorate,M,Unknown,Red,46,b,1,5,10,4477.5,0,2591,1895.5,0.601,2123,56,0.697,0,5869
717105258,1,35.5,NA,B,Graduate,M,Less than $40K,Red,42,c,2,2,7,14357.5,2260,4283,2741.5,0.448,1519,31,0.632,0.345,4057
715822008,1,28,M,B,High School,M,Less than $40K,Red,-2,n,3,4,9,63132.5,829,25224,13212,0.669,2768,70,0.628,0.032,7804
714971583,1,34,M,C,Graduate,S,$60K - $80K,Red,24,n,3,5,10,13790,1344,4972,3086,0.823,2401,71,0.732,0.213,6703
709025583,1,59.5,M,D,High School,M,$80K - $120K,Red,42,c,3,3,8,14190,0,6476,3838,0.551,2723,66,0.65,0,7669
812809083,1,35.5,NA,D,Unknown,S,Unknown,Red,34,n,2,5,10,18217.5,1263,6824,4012,0.615,2429,69,0.643,0.156,6787
714073983,1,50.5,M,C,Unknown,S,$40K - $60K,Red,42,c,1,2,7,20582.5,845,8188,4694,0.663,1661,35,0.4,0.094,4483
789297558,1,34,M,B,Uneducated,S,$120K +,Red,20,n,3,4,9,6015,0,3206,2203,1.065,3253,72,0.532,0,9259
710375283,1,19,NA,A,Uneducated,S,$40K - $60K,Red,6,v,3,3,8,69877.5,2158,26593,13896.5,0.536,1502,34,0.789,0.075,4006
712189233,1,37,NA,B,Graduate,M,$40K - $60K,Red,10,c,3,3,8,5345,1995,943,1071.5,0.514,1352,30,0.429,0.679,3556
713767383,1,28,NA,A,High School,M,$40K - $60K,Red,14,b,2,2,7,12287.5,1741,3974,2587,0.816,2324,67,1.03,0.305,6472
797414733,1,35.5,NA,D,Graduate,S,Less than $40K,Red,32,c,2,1,6,3277.5,1209,902,1051,0.594,2803,61,0.605,0.573,7909
712452033,1,19,M,B,Unknown,S,Less than $40K,Red,-4,c,2,5,10,27655,2282,9580,5390,0.837,2576,74,0.85,0.192,7228
714151533,1,62.5,NA,B,Graduate,M,$40K - $60K,Red,62,c,3,2,7,4977.5,2160,631,915.5,0.825,2214,56,0.6,0.774,6142
720440583,1,32.5,M,C,Unknown,M,$80K - $120K,Red,42,c,2,4,9,14377.5,1440,5111,3155.5,0.629,2429,77,0.453,0.22,6787
787494783,1,67,M,D,High School,M,$60K - $80K,Red,62,b,3,5,10,9332.5,1977,2556,1878,0.664,2679,69,0.605,0.436,7537
819966033,1,28,M,A,Graduate,S,Unknown,Red,24,b,3,0,5,2635,1528,326,763,0.444,1307,39,0.393,0.824,3421
710297133,1,50.5,M,D,High School,M,$80K - $120K,Red,42,n,1,3,8,14760,1354,5350,3275,0.411,1331,30,0.364,0.202,3493
793355508,1,28,M,A,Graduate,S,Less than $40K,Red,22,b,3,3,8,84290,1494,33022,17111,1.229,3259,65,0.585,0.043,9277
708580908,1,64,M,D,High School,M,$60K - $80K,Red,44,n,3,2,7,11722.5,1513,3976,2588,0.87,4085,65,0.548,0.276,11755
719826333,1,31,NA,C,Doctorate,S,Less than $40K,Red,-4,c,1,1,6,24547.5,607,10012,5606,0.883,4074,65,0.477,0.057,11722
780689733,1,77.5,M,A,Unknown,S,Unknown,Red,82,b,3,3,8,4202.5,1287,1194,1197,0.465,1825,51,0.821,0.519,4975
744764433,1,62.5,M,C,Uneducated,M,$120K +,Red,66,v,4,1,6,10750,1970,3130,2165,0.371,1032,26,0.368,0.386,2596
714902283,1,44.5,M,A,High School,M,$80K - $120K,Red,42,b,4,3,8,12762.5,726,5179,3189.5,0.85,3982,65,0.857,0.123,11446
789309558,1,26.5,M,C,College,M,Less than $40K,Red,12,c,3,2,7,21232.5,0,9293,5246.5,0.897,2314,59,1.034,0,6442
713188383,1,61,NA,B,College,M,Less than $40K,Red,42,b,3,3,8,11100,1451,3789,2494.5,1.198,2172,38,0.81,0.277,6016
719506983,1,58,M,D,Graduate,M,$80K - $120K,Red,54,n,2,5,10,8455,741,3441,2320.5,0.885,1297,24,1.182,0.177,3391
714804483,1,52,M,D,College,D,$40K - $60K,Red,42,n,2,2,7,22642.5,0,9857,5528.5,0.699,3448,103,0.635,0,9844
748503708,1,61,NA,B,High School,S,Less than $40K,Red,64,c,1,4,9,48292.5,1226,18891,10045.5,1.4,2906,58,1,0.061,8218
803587533,1,29.5,M,B,Uneducated,S,$60K - $80K,Red,26,c,2,3,8,13030,0,6012,3606,0.968,2801,72,0.674,0,7903
789777408,0,19,NA,A,Post-Graduate,S,Less than $40K,Red,0,v,2,4,9,13922.5,0,6369,3784.5,1.454,2675,47,1.136,0,7525
716811483,1,25,NA,C,Uneducated,M,Less than $40K,Red,18,v,2,5,10,30512.5,2152,10853,6026.5,1.424,3023,53,0.767,0.165,8569
714118383,1,53.5,NA,F,Graduate,M,Less than $40K,Red,56,c,2,3,8,1937.5,592,983,1091.5,0.236,644,15,0.154,0.376,1432
720532908,1,34,NA,C,Unknown,D,$40K - $60K,Red,10,b,3,3,8,14697.5,1207,5472,3336,0.538,1649,29,0.381,0.181,4447
765055833,1,64,M,E,Unknown,M,$80K - $120K,Red,68,n,3,5,10,14145,1802,4656,2928,0.923,2315,49,0.581,0.279,6445
715310208,1,59.5,M,D,Uneducated,M,$80K - $120K,Red,42,c,2,4,9,50007.5,1446,19357,10278.5,0.736,2073,43,0.654,0.07,5719
789167658,1,31,M,D,College,M,$60K - $80K,Red,16,v,3,4,9,5002.5,2403,398,799,0.884,1526,44,1,0.858,4078
789987183,1,59.5,M,C,College,M,$80K - $120K,Red,60,v,3,5,10,4047.5,2380,39,619.5,0.695,4099,73,0.659,0.984,11797
717730533,1,28,M,A,Graduate,S,$40K - $60K,Red,12,n,3,3,8,10890,1427,3729,2464.5,0.48,2057,54,0.421,0.277,5671
708668283,1,38.5,M,C,Graduate,M,$80K - $120K,Red,14,n,4,4,9,33570,1953,12275,6737.5,0.651,1970,51,0.645,0.137,5410
772360683,1,65.5,M,B,High School,M,$120K +,Red,62,c,3,4,9,23642.5,1021,9236,5218,0.467,1508,30,0.429,0.1,4024
712500933,1,52,NA,E,Graduate,S,Unknown,Red,50,x,1,5,10,5580,0,3032,2116,0.949,1037,14,2.5,0,2611
804867183,1,35.5,M,D,Unknown,M,$60K - $80K,Red,30,x,3,5,10,1595.75,312,1126.3,1163.15,0.657,1786,26,0.733,0.217,4858
826068183,1,34,M,B,Graduate,M,$80K - $120K,Red,34,b,2,4,9,78240,0,32096,16648,0.766,2619,69,0.917,0,7357
820044333,1,38.5,M,D,College,D,$40K - $60K,Red,38,b,3,2,7,5535,794,2220,1710,0.5,1488,30,0.579,0.263,3964
714211533,1,26.5,M,A,Graduate,D,Less than $40K,Red,42,c,3,3,8,12405,1890,3872,2536,0.938,3814,88,0.66,0.328,10942
710287533,1,26.5,M,C,Graduate,S,$40K - $60K,Red,42,b,1,3,8,4387.5,1701,854,1027,1.492,3127,45,1.25,0.666,8881
720603558,1,34,M,E,Graduate,S,$60K - $80K,Red,42,c,3,2,7,84290,1731,32785,16992.5,0.605,2421,63,0.575,0.05,6763
819258408,1,50.5,NA,F,Graduate,S,Less than $40K,Red,54,v,3,2,7,3350,1361,779,989.5,0.46,1280,34,1,0.636,3340
717437058,1,37,M,C,Unknown,D,$60K - $80K,Purple,22,n,2,5,10,63930,1365,25007,13103.5,1.394,2291,56,1,0.052,6373
717327783,1,38.5,M,C,Graduate,M,$80K - $120K,Red,24,b,2,2,7,18507.5,654,7549,4374.5,0.588,2910,63,0.909,0.08,8230
712887633,1,38.5,M,B,Unknown,S,$80K - $120K,Red,42,b,2,3,8,4637.5,1527,1128,1164,0.715,1921,26,0.444,0.575,5263
716129208,1,35.5,M,D,Graduate,M,$40K - $60K,Red,42,n,2,2,7,32137.5,1048,12607,6903.5,0.509,2383,59,0.595,0.077,6649
718037433,1,67,M,B,Graduate,M,$80K - $120K,Red,68,n,1,5,10,28422.5,1935,10234,5717,0.435,1599,38,0.652,0.159,4297
709839858,1,67,NA,C,Graduate,M,Less than $40K,Red,48,n,1,1,6,5390,1823,1133,1166.5,0.969,2144,58,0.812,0.617,5932
719686458,1,35.5,M,D,Graduate,M,$40K - $60K,Red,42,n,2,3,8,4495,1645,953,1076.5,0.765,2483,59,0.903,0.633,6949
721434483,1,61,M,D,Graduate,M,$80K - $120K,Red,62,b,2,2,7,24415,726,9840,5520,0.893,2156,64,1.207,0.069,5968
716096358,1,47.5,NA,D,Uneducated,S,Less than $40K,Red,48,n,1,2,7,18580,2259,5973,3586.5,1.158,2849,67,1.31,0.274,8047
718244958,1,34,NA,C,Graduate,M,Unknown,Red,22,b,2,1,6,63912.5,680,25685,13442.5,0.498,3411,68,0.789,0.026,9733
711315783,1,59.5,M,D,Graduate,M,$40K - $60K,Red,56,b,3,0,5,9677.5,1933,2738,1969,0.986,2468,58,0.706,0.414,6904
821296083,1,31,NA,B,College,M,Less than $40K,Red,30,v,3,2,7,35172.5,0,14869,8034.5,1.624,2753,48,1.087,0,7759
716447733,1,28,M,D,Graduate,M,$40K - $60K,Red,6,n,1,NA,9,4992.5,1802,995,1097.5,0.675,3525,63,0.75,0.644,10075
719591283,1,37,M,C,Uneducated,M,Less than $40K,Red,24,b,2,1,6,4642.5,2115,542,871,0.688,3580,77,0.711,0.796,10240
789911808,1,35.5,M,D,Uneducated,M,$80K - $120K,Red,26,n,1,3,8,20872.5,1806,7343,4271.5,0.35,1220,36,0.333,0.197,3160
713195808,1,35.5,NA,D,High School,M,Unknown,Red,42,b,2,3,8,4572.5,1476,1153,1176.5,0.537,1725,41,0.414,0.561,4675
717866133,1,50.5,NA,C,Graduate,S,Less than $40K,Red,42,n,3,3,8,5940,0,3176,2188,0.652,2298,67,0.457,0,6394
716670783,1,58,NA,D,Doctorate,S,Unknown,Red,42,n,1,0,5,52687.5,2517,19358,10279,0.409,1327,31,0.409,0.115,3481
789197508,1,61,M,D,High School,M,$60K - $80K,Red,56,b,2,NA,9,5517.5,1664,1343,1271.5,0.34,1475,31,0.632,0.553,3925
713108433,1,59.5,M,D,College,M,$80K - $120K,Red,50,v,2,NA,9,41510,1745,15659,8429.5,0.54,4491,78,0.66,0.1,12973
711403383,1,29.5,NA,D,College,S,Less than $40K,Red,16,b,6,3,8,5157.5,2517,346,773,0.583,1458,39,0.696,0.879,3874
768212583,1,53.5,M,C,Graduate,M,$60K - $80K,Red,56,b,1,2,7,84290,2429,32087,16643.5,0.742,3205,57,0.727,0.07,9115
710632683,1,26.5,M,B,Uneducated,M,$40K - $60K,Red,18,v,4,3,8,44680,2517,16155,8677.5,0.799,1126,35,0.591,0.135,2878
711836733,1,44.5,M,D,Graduate,S,$120K +,Red,32,n,2,2,7,8510,499,3705,2452.5,0.635,4740,67,0.523,0.119,13720
771183933,1,38.5,M,B,Uneducated,M,$80K - $120K,Red,22,c,2,NA,9,15147.5,2489,4370,2785,0.65,1617,26,1,0.363,4351
711327558,1,37,M,C,High School,M,$40K - $60K,Red,42,n,3,3,8,38125,1480,14570,7885,1.326,3215,56,0.806,0.092,9145
788971308,1,73,NA,B,Uneducated,M,Less than $40K,Red,68,b,2,2,7,84290,1024,33492,17346,0.72,2436,71,0.651,0.03,6808
718950483,1,67,NA,B,Unknown,M,$40K - $60K,Red,66,c,3,3,8,39915,1535,15231,8215.5,1.042,3093,77,0.878,0.092,8779
714278958,1,38.5,NA,C,High School,M,Unknown,Red,24,c,2,1,6,50237.5,1808,19087,10143.5,0.572,3210,65,0.667,0.087,9130
711817158,1,25,M,C,College,D,$40K - $60K,Red,14,n,3,3,8,17702.5,2517,5364,3282,0.738,3068,77,0.711,0.319,8704
765824058,1,49,M,E,Doctorate,M,$80K - $120K,Red,48,v,2,3,8,31567.5,0,13427,7313.5,0.521,1337,27,0.588,0,3511
710109633,1,38.5,M,C,College,M,$60K - $80K,Red,32,c,3,2,7,3702.5,1677,604,902,1.027,2735,58,1.071,0.735,7705
713643858,1,59.5,NA,B,College,M,$40K - $60K,Red,56,n,2,NA,9,25435,0,10974,6087,0.591,1327,26,1,0,3481
716399583,1,31,M,B,Uneducated,M,$120K +,Red,42,z,3,NA,9,20312.5,168,8757,4978.5,0.447,741,10,0.429,0.019,1723
714516783,1,61,NA,A,Graduate,D,Less than $40K,Purple,42,v,1,3,8,11162.5,0,5265,3232.5,0.524,3281,68,0.744,0,9343
710490708,1,61,M,D,High School,S,$80K - $120K,Red,42,n,4,3,8,40890,2517,14639,7919.5,0.717,1142,33,0.32,0.147,2926
780662133,1,38.5,M,C,Uneducated,M,$60K - $80K,Red,26,v,2,3,8,31642.5,1248,12209,6704.5,0.512,1548,41,0.519,0.093,4144
715389708,1,34,NA,D,Graduate,M,Less than $40K,Red,26,c,2,NA,9,4855,2184,558,879,0.592,3829,72,0.532,0.796,10987
789607983,1,37,M,D,High School,M,$40K - $60K,Red,34,c,2,3,8,7725,2286,1604,1402,0.633,1889,51,0.457,0.588,5167
720171033,1,47.5,M,E,Unknown,M,$60K - $80K,Red,42,n,2,3,8,40995,0,17198,9199,0.803,4042,62,0.722,0,11626
815104608,1,22,NA,A,Graduate,D,Less than $40K,Red,16,n,3,NA,9,6502.5,1713,1688,1444,0.773,1924,54,0.317,0.504,5272
719660658,1,35.5,NA,B,High School,S,Unknown,Red,42,n,1,2,7,45377.5,1243,17708,9454,1.148,2874,58,0.657,0.066,8122
714159858,1,65.5,M,A,Graduate,M,$40K - $60K,Red,66,v,1,1,6,1635,888,566,883,1.19,3060,56,0.647,0.611,8680
714225333,1,52,NA,E,Graduate,M,Less than $40K,Red,42,n,3,2,7,66747.5,1188,26311,13755.5,0.544,2202,46,0.394,0.043,6106
712204308,1,29.5,M,A,Unknown,S,$40K - $60K,Red,42,c,3,2,7,80410,2231,30733,15966.5,1.731,3094,45,1.647,0.068,8782
718468158,1,37,M,B,Uneducated,M,$60K - $80K,Red,20,b,2,1,6,16527.5,633,6778,3989,0.762,2761,77,0.604,0.085,7783
711575058,1,34,M,D,Unknown,M,$60K - $80K,Red,42,v,3,3,8,16000,0,7200,4200,0.894,3006,83,0.93,0,8518
735417408,1,35.5,M,C,High School,M,$60K - $80K,Red,30,n,2,3,8,28017.5,956,11051,6125.5,0.832,2678,50,0.471,0.08,7534
717171408,1,34,M,B,Unknown,M,$80K - $120K,Red,22,v,2,2,7,5867.5,1602,1545,1372.5,0.569,1558,23,0.643,0.509,4174
814312308,1,61,NA,D,Uneducated,M,$40K - $60K,Red,68,n,2,5,10,10775,1942,3168,2184,0.749,3028,76,0.583,0.38,8584
711786108,1,58,M,B,Graduate,M,$60K - $80K,Red,56,c,6,NA,9,11595,2214,3224,2212,0.668,5029,75,0.562,0.407,14587
712905708,1,59.5,NA,B,Graduate,M,Less than $40K,Red,48,n,1,1,6,41625,2193,15257,8228.5,0.419,1426,38,0.462,0.126,3778
720050208,1,20.5,NA,B,High School,S,Less than $40K,Red,8,c,3,2,7,43880,1509,16843,9021.5,0.898,1454,29,1.071,0.082,3862
793952133,1,28,NA,A,High School,M,Less than $40K,Red,22,c,1,2,7,10575,2326,2704,1952,0.856,3345,69,1.3,0.462,9535
798140283,1,65.5,M,E,Graduate,M,$120K +,Red,72,c,2,3,8,84290,802,33714,17457,0.899,1823,27,0.8,0.023,4969
789970233,1,61,NA,C,High School,M,Less than $40K,Red,60,b,3,3,8,6127.5,1919,1332,1266,0.56,1406,31,0.24,0.59,3718
713893308,1,47.5,M,D,Graduate,D,$60K - $80K,Red,44,c,2,2,7,5145,1251,1607,1403.5,0.576,2844,73,0.622,0.438,8032
718843608,1,34,NA,C,Post-Graduate,D,Less than $40K,Red,20,n,1,0,5,84290,1847,32669,16934.5,0.527,3284,65,0.477,0.054,9352
752085108,1,38.5,NA,C,Graduate,M,$40K - $60K,Red,28,v,1,3,8,39107.5,1363,15080,8140,0.688,4252,64,0.684,0.083,12256
789435783,1,38.5,NA,B,Graduate,M,$40K - $60K,Red,30,c,2,3,8,7217.5,1655,2032,1616,0.742,2448,63,0.5,0.449,6844
711032058,1,31,M,D,High School,S,$80K - $120K,Purple,12,b,1,3,8,10100,2517,2323,1761.5,0.445,1637,22,1,0.52,4411
784719708,1,61,NA,C,Uneducated,M,$40K - $60K,Red,56,n,3,2,7,35770,0,15108,8154,1.015,3738,68,0.744,0,10714
804663258,1,61,M,C,High School,M,$80K - $120K,Red,68,n,3,2,7,2772.5,1753,156,678,0.788,1457,24,0.6,0.918,3871
716900433,1,34,M,C,Graduate,M,$60K - $80K,Red,26,b,2,2,7,45657.5,1236,17827,9513.5,0.542,3393,58,0.871,0.065,9679
720909408,1,35.5,M,C,High School,D,$120K +,Red,18,v,2,NA,9,37955,1691,14291,7745.5,0.808,1687,40,0.739,0.106,4561
712187808,1,20.5,M,A,Uneducated,M,$40K - $60K,Red,0,n,2,2,7,1595.75,0,1438.3,1319.15,0.66,1794,45,0.875,0,4882
